context_id	word	gold_sense_id	predict_sense_id	positions	context
20	замок	1		336-341, 494-499, 540-545	замок крестоносец испания окончание эпоха средневековье замок стать утрачивать первоначальный оборонительный задача уступить теперь место жилой развитие артиллерия оборонительный задача замок исчезать окончательно черта замковый архитектура сохраняться качество элемент декор французский замок пьерфон конец век возобладать регулярный планировка четко выражать симметрия главный здание приобретать дворцовый характер мадридский замок паризкий век несвижский замок белоруссия век век замковый архитектура
21	замок	1		59-64, 79-84, 223-228, 256-261, 291-296	позволять рельеф местность ров заполнять вода замок превращаться замок вода время структура замок усложняться территория замок включать уже казарма суд храм тюрьма другой сооружение замокнуть куси францие век замок вартбургать германий веко замокнуть харлька великобритание век начало массовый применение порох начинаться закат эпоха строительство замок так осаждать начинать проводить случай позволять грунт саперный работа незаметно копать сап
22	замок	1		238-243, 366-371	внутри замок год находиться музей история тракий сувенирный лавка летописный легенда великий князь литовский гедимин успешный охота обнаруживать прекрасный место недалеко город кернава решать воздвигнуть замок переносить сюда столица второй половина век здесь старый трок сянейь тракай уже стоять каменный замок правило сын гедимин трокский князь
23	замок	1		174-179	1-е год берег озеро галев трокский озеро разрушать время междоусобица год вновь отстраивать конец правление витовт трокский островной замок окончить год мощный наиболее величественный великий княжество литовский один самый неприступный крепость восточный европа раз история враг удаваться завоевывать островной
24	замок	1		135-140, 285-290, 305-310, 449-454, 482-487, 517-522	укреплять ворота далее следовать внешний двор включать хозяйственный постройка также замковый сад огород замок окружать второй ряд стена ров перебрасываться подъемный мост позволять рельеф местность ров заполнять вода замок превращаться замок вода время структура замок усложняться территория замок включать уже казарма суд храм тюрьма другой сооружение замокнуть куси францие век замок вартбургать германий веко замокнуть харлька
25	замок	1		104-109, 280-285, 506-511	путь приводить город экономический упадок вскоре трок становиться место ссылка неугодный знать замок использовать тюрьма война москва год развалина забрасывать замок постепенно разрушаться попытка реставрировать разрушиться год тракайский замок предпринимать еще конец век однако основной работа столько реставрация сколько консервация приходиться начало век год археолог шукевич брать городской магистрат трокский островной замок аренда год
26	замок	1		198-203	метр лорд максвелл сын робервать метр лорд максвелл ворота керлаверка вновь фигурировать описание конфликт англиий шотландиий год битва солвий мосс замок посещать король як сражение шотландец потерпеть сокрушительный поражение англичанин пленить роберт 1-й лорд максвелл вскоре освобождать ненадолго год англичанин вновь брать
27	замок	1		132-137, 298-303	приобретать форма вытягивать прямоугольник башня угол самый высокий западный дозорный внутри замок разделяться двор здание княжеский дворец внутри стена находиться казарма склад боеприпас скала вырубить глубокий колодец впервые высокий замок брать штурм год казак предводительство максим кривонос год выводить гарнизон река турок занимать бой начало
28	замок	1		221-226, 380-385	приносить клятва верность присягнувший герберт максвелл сын джон вскоре шотландец поднимать мятеж год эдуард вторгнуться галлоуэй очаг сопротивление обрушивать гнев число замок керлаверка армия эдуард состоять рыцарь воин осада длиться недолго вскоре лорд максвелл гарнизон человек брать плен замок оставаться рука англичанин вплоть
29	замок	1		195-200, 203-208, 413-418	сын гедимин трокский князь кейстать год замок рождаться витовт год кейстать переносить столица старый трок защищать озеро новый трок где строить полуостровный замок замок старый трок год разрушать больше восстанавливаться участок земля остатки замок витовть год дарить монах бенедиктинец монастырь стоять старый замчище трокский полуостровный замок строить кейстувать
30	замок	1		208-213	главный башня стена год еще сохраняться несмотря протест год решение первый секретарь обком кпсс николать коновалов развалина замок взорвать вершина гора стоять замок метр срыт приблизительно место южный восточный часть замок настоящий время стоить строиться недостроенный советский время дом совет год
31	замок	1		149-154, 325-330, 441-446	уже стародавний время действовать переправа река укрепление прусс твангвствовать так напрашиваться закладка орденский крепость замок выстраивать дерево место прусский городище тувангсте протяжение век неоднократно подвергать нападение восстать прусс литовский отряд замок основывать январь год деревянный строение год поздно начинаться возведение кирпичный замок замок служить резиденция маршал тевтонский орден центр сбор рыцарский поход великий княжество литовский век
32	замок	1		84-89, 252-257, 313-318, 473-478	седьмой лорд стюарть напиться допьяна поменяться кэмпбелл отдавать замок обмен восьмивесельный лодка верейка сталкер вернуться стюарт год поражение битва данкелд сюарт обязать вновь передавать замок кэмпбелл стюарт отказываться кэмпбелла осаждать замок течение месяц наконец захватывать кэмпбелла жить замок примерно город потом перебираться остров большой земля замок использовать склад
33	замок	1		348-353	новопостроенный замок часто стилизироваться средневековый однако иметь оборонительный значение стена башня замок порой весьма внушительный служить декоративный цель характерный пример подобный тип замок являться замок строить король людвигой ii баварский середина век особенность замок нойшванштайна
34	замок	1		106-111, 205-210	конец xiv сэр уило кит сносить более ранний вероятно деревянный постройка строить место замокнуть камень год король як передавать право владение данноттар лорд маршал шотландия замок посещать королева мария стюарть год город король як vi город
35	замок	1		82-87, 312-317	место римлянин частность римский монета период правление петр савойский замок укреплять расширить придворный архитектор мений активный перестройка замок продолжаться вплоть век период возвести основной сооружение определять исторический облик традиционно замок служить также тюрьма людовик благочестивый держать здесь заключение аббат вал корвея середина век время эпидемия чума замок содержаться подвергаться пытка еврей обвинять отравление источник вода шильонский замок происходить действие поэма
36	замок	1		151-156, 216-221, 378-383	главный инженер людовик xiv маршал франция себастьать вобанный строительство замок начинаться выбор место строительный материал замок дерево стоить дешево строить простой замок камень стоимость строительство большинство замок доходить день большинство сохраняться документ тема относиться королевский дворец замок дерево мотть бейть мочь строить неквалифицированный рабочий сила зависимый феодал крестьянин уже обладать навык необходимый
37	замок	1		273-278, 458-463	крепость первоначально иметь деревянный земляной укрепление занимать вершина замковый гора возможно конец xiii начало век перестраивать камень постройка каменный замок год приписывать польский король казимир захвативший галиция замок повторить очертание вершина гора план приобретать форма вытягивать прямоугольник башня угол самый высокий западный дозорный внутри замок разделяться двор здание княжеский дворец внутри стена находиться казарма склад боеприпас
38	замок	1		297-302	башня парадный зал дворец украшать витраж фреска главный сюжет служить сцена жизнь великий князь жилой помещение соединяться внутренний деревянный галерея спальня князь казначейский палата быть тайный ход вести внутренний двор замок оборудовать система воздушный отопление горячий воздух подниматься труба согревать холодный каменный стена небывалый богатство замок свидетельствовать факт явствовать литовский хроник седло замок золотой несколько седеть вместе лошадь дарить
39	замок	1		11-16	тракайский замок трака́йский тро́кский тро́цкий за́мок самый большой сохраняться литве старинный замок находиться древний резиденция литовский князь город тракай внутри замок год
40	замок	1		195-200, 426-431	святой ниниан строить церковь город захватывать уило уоллосить сжигать церковь вместе укрываться английский гарнизон год англичанин вновь брать данноттарин время замок посещать король эдуард iii год данноттарин возвращать шотландия усилие сэр эндрить мюррея конец сэр уило кит сносить более ранний вероятно деревянный постройка строить место замокнуть камень
41	замок	1		222-227	борьба власть сэр юстас немедленно переметнуться сторона эдвард баллиоль хотеть сместить брюс трон год сэр юстас восстанавливать укреплять керлаверка передавать распоряжение баллиолить ворота замок частично перестроить лорд гербервать максвелл метр лорд максвелл сын робервать метр лорд максвелл ворота керлаверка вновь фигурировать описание конфликт англиий шотландиий
42	замок	1		0-5, 22-27	замок торон история замок торона строить гуго сентябрь омером второй князь галилей помощь захват тир смерть создавать независимый сеньорий год отдавать онфруа торона
43	замок	1		0-5, 32-37, 45-50	замок кенигсбергать кенигсбергский замок замок тевтонский орден кенигсберг калининград называть также королевский замок закладывать год чешский король оттокаром пржемыслый просуществовать год
44	замок	1		0-5	замок дамбартон год замок содержаться стража заместитель командующий королевский армия шотландия генерал уило драммонд обвинять тайный симпатия мятежный ковенантер
45	замок	1		266-271	новгород показывать археологический раскопка год ранее замковый остров располагаться укреплять пункт карел разрушить взять швед решение регент шведский король торгильс кнутссон замковый остров строить мощный замок получать название выборг швед окружать возвышенный часть остров стена центр возвести каменный башня квадратный план высокий дозорный боевой башня наречен честь норвежский король крестителить скандинавие олав святой башня долгий время считать самый
46	замок	1		14-19, 202-207, 315-320	парк высокий замок название происходить древний укрепление львова высокий замок противоположность другой низкий замок существовать год xix высокий замок веко важный оборонительный форпосвать город большинство древнерусский крепость высокий замок состоять сам детиннец окольный град предградья крепость первоначально иметь деревянный земляной укрепление занимать вершина замковый гора возможно конец xiii начало xiv
47	замок	1		26-31, 125-130, 270-275, 409-414	завоевывать островной замок сразу становиться основной резиденция великий князь витовт грюнвальдский битва июль год замокнуть утрачивать военный значение так основной противник великий княжество литовский тевтонский орден разгромить время замок переживать период расцвет роскошный прием пир устраиваться честь иностранный посол высокий гость съезжаться замок европа островный замок октябрь год умирать витовт конец век трок
48	замок	1		11-16, 19-24, 82-87	стерлинг замок замок терлинчь находиться шотландия город стерлинг замок стерлинг являться крупный важный замок шотландия исторический так архитектурный точка зрение располагаться вершина замковый холм
49	замок	1		240-245	проводить референдум референдум совмещать выборы областной дума окружной совет калининград состояться март год смена губернатор правительство область сентябрь год вопрос референдум больше подниматься замок кенигсбергать момент основание возглавлять комтура тевтонский немецкий орден первый комтур основание замок становиться год буркхард хорнхаузный
50	замок	1		31-36, 92-97, 252-257, 330-335	сюарт обязать вновь передавать замок кэмпбелл стюарт отказываться кэмпбелла осаждать замок течение месяц наконец захватывать кэмпбелла жить замок примерно город потом перебираться остров большой земля замок использовать склад год обвалиться крыша год замок покупать чарльз стюарт потомок стюарт владеть замок год назад
51	замок	1		98-103, 283-288, 449-454	постройка каменный замок год приписывать польский король казимир захвативший галиция замок повторить очертание вершина гора план приобретать форма вытягивать прямоугольник башня угол самый высокий западный дозорный внутри замок разделяться двор здание княжеский дворец внутри стена находиться казарма склад боеприпас скала вырубить глубокий колодец впервые высокий замок брать штурм год казак предводительство максим кривонос
52	замок	1		269-274	западный стена строить каменный казарма июнь год более двухмесячный осада бомбардировка город брать войска петр последний шведский комендант город полковник шернстроль сдаваться милость победитель потерпевший значительный урон замок интенсивно ремонтировать однако строительство конец век рогатый крепость анненский укрепление второй половина век надежно прикрывать город сторона швеции военный значение замок стремительно идти убыль начинать использовать размещение гарнизон сильный пожар
53	замок	1		143-148, 255-260, 432-437	расположенный восточный побережье шотландия миля юг стонхейвена миля абердиный ранний история утес стоять замок специально создавать данноттарин становиться самый неприступный крепость шотландия замок можно попадать способ хорошо укрыть расселина скала главный вход узкий крутой тропинка вести пещера потайный вход замок неудивительный течение многие век неприступный скала возводить укрепление известный
54	замок	1		227-232	быть возможность избегать нападение обмен состояться осторожность султан оправдывать год год смерть фридрих ii вернуть торон договор султан камиль год замок передавать рука тевтонский орден начинаться восстановление торон оставаться рука крестоносец год байбарс практически бой брать город сеньора торон очень влиятельный королевство онфруый ii коннетабль онфруа
55	замок	1		0-5, 14-19, 175-180, 245-250	замок сталкер замок строить год первоначально представлять небольшой укрепление принадлежать клан макдугал год право владение земля включая замок переходить стюарт считать сэр стюарть выстраивать замок вид сохраняться день джоный стюарт внебрачный сын женщина клан макларен город
56	замок	1		25-30, 184-189	гнев число замокнуть керлаверка армия эдуард состоять рыцарь воин осада длиться недолго вскоре лорд максвелл гарнизон человек брать плен замок оставаться рука англичанин вплоть город хранитель замок время иной родственник гербервать максвелл сэр юстас максвелл приграничный лорд демонстрировать замечательный талант слуга хозяин
57	замок	1		263-268, 313-318	оконный проем уже средневековый каменный скамейка ниша другой уровень этаж стена камин очаг вход башня строить гранитный крыльцо внутри башня металлический лестница подъем смотровой площадка вид замок доходить день время война год замок страдать сильно пожар победа передавать советский военный год министерство оборона ссср
58	замок	1		76-81, 154-159	замок примерно город потом перебираться остров большой земля замок использовать склад год обвалиться крыша год замок покупать чарльз стюарт потомок стюарт владеть замок год назад город владелец замок становиться полковник дом стюарть оллвард инициатива замок протяжение год проводить
59	замок	1		99-104, 257-262, 303-308	окончательно черта замковый архитектура сохраняться качество элемент декор французский замок пьерфон конец век возобладать регулярный планировка четко выражать симметрия главный здание приобретать дворцовый характер мадридский замок паризкий век несвижский замок белоруссия век век замковый архитектура западный европа окончательно вытеснилиться дворцовый оборонительный задача долго сохранять замок грузия активно строиться вплоть век касаться руси период феодальный раздробленность замок
60	замок	1		275-280, 410-415	крепость богатый дворец менее продолжать защищать неприступный скала май год данноттарин единственный крепость шотландия продолжать хранить верность король карл ii поддерживать противостояние кромвель кромвель хотеть захватывать замок еще потому данноттара храниться королевский регалия личный бумага карть ii однако восьмимесячный осада замок пасть кладовая оказываться пустой документ король укрыть одежда жительница замок другой женщина делать вид направляться собирать морской
61	замок	1		0-5, 246-251, 345-350, 490-495	замок окончить год мощный наиболее величественный великий княжество литовский один самый неприступный крепость восточный европа раз история враг удаваться завоевывать островной замок сразу становиться основной резиденция великий князь витовт грюнвальдский битва июль год замокнуть утрачивать военный значение так основной противник великий княжество литовский тевтонский орден разгромить время замок переживать период расцвет
62	замок	1		11-16	выборгский замок вы́боргский за́мок возводить небольшой остров метр финский залив являться древнейший выборгский укрепление восходить век единственный
63	замок	1		258-263, 451-456	метр замок можно видеть построить пятидесятиметровый пилон как парить замок шоссе соединять швейцарий италий первый летописный упоминание замок резиденция герцог савойский относиться год сведение замокнуть мочь закладывать еще рано век время раскопка год находить след пребывание место римлянин частность римский монета период правление петр савойский замок укреплять расширить придворный архитектор мений
64	замок	1		11-16, 17-22, 188-193, 274-279	шильонский замок замокнуть шильйон известный русскоязычный литература шильо́нский за́мок расположенный швейцарский ривьер кромка женевский озеро километр город монтр замок представлять комплекс элемент разный время постройка шильонский замок
